track_name,artist_name,artist_count,released_year,released_month,released_day,streams,in_spotify_playlists,in_spotify_charts,bpm,key_signature,mode_type,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent
"Get Into It (Yuh)","Doja Cat",1,2021,6,25,4999,0,516784627,43,19,73,12,0,92,0,0,91,79
"Before You Go","Lewis Capaldi",1,2019,11,1,8327,24,1608045237,205,130,625,0,25,112,0,0,45,19
Sky,"Playboi Carti",1,2020,12,25,3297,3,506778838,25,3,52,0,1,140,0,0,79,56
"Rolling in the Deep",Adele,1,2010,11,29,35684,6,1472799873,195,125,"6,280",2,78,105,0,0,73,52
Sobrio,Maluma,1,2021,7,8,3506,10,513643924,103,76,100,1,1,178,0,0,76,63
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,60,17,154,0,22,108,0,0,96,71
"favorite crime","Olivia Rodrigo",1,2021,5,21,3681,0,783706581,20,21,99,0,7,173,0,0,40,19
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,54,16,259,0,13,101,0,0,67,40
"The Business",Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,255,32,582,0,14,120,0,0,80,24
positions,"Ariana Grande",1,2020,10,23,8207,0,1252563873,175,55,95,0,2,144,0,0,73,66
"I WANNA BE YOUR SLAVE",Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,65,88,434,3,13,133,0,0,75,96
"Vai Lï¿½ï¿½ Em Casa ","Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529,7,3,89,0,0,158,0,0,46,62
"The Feels",TWICE,1,2021,10,1,1150,0,345903614,20,99,44,0,2,120,0,0,81,92
"HEARTBREAK ANNIVERSARY",Giveon,1,2020,2,21,5398,4,951637566,111,127,210,0,37,129,0,0,61,59
"No Lie","Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,92,127,"1,219",0,62,102,0,0,74,45
"OUT OUT (feat. Charli XCX & Saweetie)","Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,122,11,201,0,1,124,0,0,79,79
